district,stage_name,ndvi_mean,ndvi_std,vel_median,vel_std,bsi_median,bsi_std,lswi_vel_median,lswi_vel_std
Ampara,Harvest,0.4566162429257404,0.16978823888073688,-0.0071546137,0.05969261264027652,0.0240474,0.15657299081303383,-0.0057318397,0.06651116002469051
Ampara,Reproductive,0.6814880628394131,0.12006657968423463,-0.0008175373,0.07370124278441138,-0.218259835,0.10585176485153115,-0.0004984289500000001,0.06497969233650122
Ampara,Ripening,0.41577271263637283,0.14847171855469182,-0.10033971,0.060001228701493894,0.043748837,0.1315148652509217,-0.10310878,0.06562862270269378
Ampara,Transplant,0.27060759136473883,0.12399854633625092,-0.033094704,0.054422687379608356,0.109718114,0.11920417155445989,0.0,0.06691603283062589
Ampara,Vegetative,0.49399094909149666,0.17107864370104534,0.09908621,0.06178529942744524,-0.089352615,0.13669407311282045,0.079216674,0.059718031328996106
Anuradhapura,Harvest,0.5432577975506083,0.11680584682463838,-0.003936112,0.05061772594085623,-0.06105759,0.10889602049458057,-0.004962087,0.050301962743643444
Anuradhapura,Reproductive,0.6794955904391513,0.08617622428447935,0.0,0.06253696763411182,-0.189708185,0.0865304151051211,0.0,0.05387219723019682
Anuradhapura,Ripening,0.4986174070630895,0.11212497296794674,-0.0711079525,0.04812932025063358,-0.021834881,0.10329290483900333,-0.06523063,0.04866515883800296
Anuradhapura,Transplant,0.37743807016312225,0.09354982829473829,-0.0290286835,0.044668741287596916,0.052458131500000005,0.09077064862978272,-0.0133660315,0.04702756851111721
Anuradhapura,Vegetative,0.5415710406585791,0.12293904247196392,0.06926343,0.048540731362523216,-0.090941875,0.11127895988638582,0.058472380000000004,0.045695448746114
Badulla,Harvest,0.6594506863307079,0.10533953780135329,-0.0006329417,0.03809819589513619,-0.16807437,0.08089554215926376,0.0,0.030460022488620567
Badulla,Reproductive,0.7465217952235873,0.07244709096643778,-0.008138895,0.05863594257647973,-0.24146731,0.06565158274946603,-0.002553165,0.03956164867819406
Badulla,Ripening,0.5489691265518809,0.1199308043927046,-0.07325584,0.04286707308688561,-0.07736418,0.08900982844492662,-0.058125913,0.046426578432188476
Badulla,Transplant,0.44260967151507746,0.11408743245182608,-0.02224189,0.042196838619171645,-0.027071062,0.08111375138151003,-0.0009453371,0.04158072093527012
Badulla,Vegetative,0.6065901518069691,0.12744913912640446,0.058937609,0.045967131771804004,-0.15965609,0.08959165044910838,0.038829714,0.03543616817947611
Batticaloa,Harvest,0.4169411821362619,0.1403452148624209,-0.008992456,0.04851512828481548,0.104867267,0.13438763076032065,-0.009230902749999999,0.049682419527392406
Batticaloa,Reproductive,0.6344522976315425,0.11416572178057577,0.0,0.06601943710307527,-0.141536145,0.1142891123492272,0.0,0.06376353719743001
Batticaloa,Ripening,0.4007254294060783,0.1237179769993979,-0.083095028,0.058516468834490847,0.077427243,0.11536799231175511,-0.08308281,0.06390415711175951
Batticaloa,Transplant,0.24246106877243986,0.09509708443289276,-0.025382273,0.04951591345264877,0.17515888000000002,0.10282484877987871,-0.00943341125,0.05411821987929871
